RegionID,B,G,R,hex_color
563,80,144,112,#709050
564,48,176,144,#90b030
565,80,144,144,#909050
566,80,176,144,#90b050
567,80,176,144,#90b050
568,112,208,176,#b0d070
569,80,176,144,#90b050
570,112,208,176,#b0d070
571,48,208,176,#b0d030
572,80,208,176,#b0d050
573,16,48,48,#303010
574,80,176,144,#90b050
575,112,208,176,#b0d070
576,16,16,16,#101010
577,112,208,208,#d0d070
578,176,240,208,#d0f0b0
579,80,176,176,#b0b050
580,80,176,176,#b0b050
581,48,176,144,#90b030
582,80,144,144,#909050
583,112,240,176,#b0f070
584,16,16,16,#101010
585,80,176,144,#90b050
586,16,16,16,#101010
587,80,208,176,#b0d050
588,144,240,208,#d0f090
589,80,208,176,#b0d050
590,144,240,208,#d0f090
591,80,208,176,#b0d050
592,112,240,208,#d0f070
593,80,208,176,#b0d050
594,144,240,208,#d0f090
595,144,240,240,#f0f090
596,112,208,176,#b0d070
597,80,112,80,#507050
598,112,240,208,#d0f070
599,112,240,208,#d0f070
600,80,176,144,#90b050
601,80,240,208,#d0f050
602,80,176,144,#90b050
603,112,240,176,#b0f070
604,80,208,176,#b0d050
605,112,176,144,#90b070
606,48,144,144,#909030
607,176,240,240,#f0f0b0
608,48,144,144,#909030
609,80,208,176,#b0d050
610,80,208,176,#b0d050
611,112,176,144,#90b070
612,48,112,112,#707030
613,80,208,176,#b0d050
614,176,240,208,#d0f0b0
615,112,208,176,#b0d070
616,144,208,176,#b0d090
617,48,208,176,#b0d030
618,80,208,176,#b0d050
619,112,176,176,#b0b070
620,112,208,176,#b0d070
621,112,208,176,#b0d070
622,144,240,208,#d0f090
623,80,240,176,#b0f050
624,112,208,176,#b0d070
625,80,112,112,#707050
626,80,176,144,#90b050
627,112,208,176,#b0d070
628,144,240,208,#d0f090
629,16,48,48,#303010
630,48,80,80,#505030
631,80,176,144,#90b050
632,144,240,208,#d0f090
633,112,240,208,#d0f070
634,112,240,208,#d0f070
635,112,208,176,#b0d070
636,112,176,144,#90b070
637,80,176,144,#90b050
638,48,80,80,#505030
639,48,208,176,#b0d030
640,112,176,144,#90b070
641,80,176,144,#90b050
642,112,240,208,#d0f070
643,48,80,80,#505030
644,80,176,144,#90b050
645,48,144,144,#909030
646,144,240,208,#d0f090
647,80,208,176,#b0d050
648,80,176,176,#b0b050
649,80,240,176,#b0f050
650,112,240,208,#d0f070
651,112,176,144,#90b070
652,112,208,176,#b0d070
653,16,48,48,#303010
654,48,176,144,#90b030
655,80,176,144,#90b050
656,112,176,144,#90b070
657,112,240,208,#d0f070
658,80,112,80,#507050
659,112,208,176,#b0d070
660,48,144,112,#709030
661,144,240,208,#d0f090
662,176,240,240,#f0f0b0
663,176,240,240,#f0f0b0
664,80,112,80,#507050
665,16,48,48,#303010
666,112,208,176,#b0d070
667,80,176,144,#90b050
668,144,208,176,#b0d090
669,80,144,112,#709050
670,144,240,208,#d0f090
671,80,208,176,#b0d050
672,48,176,144,#90b030
673,112,240,208,#d0f070
674,112,176,176,#b0b070
675,112,208,176,#b0d070
676,80,112,80,#507050
677,112,176,144,#90b070
678,80,144,112,#709050
679,80,144,112,#709050
680,112,208,176,#b0d070
681,80,208,176,#b0d050
682,112,240,208,#d0f070
683,144,208,176,#b0d090
684,112,208,176,#b0d070
685,48,144,112,#709030
686,144,208,176,#b0d090
687,112,240,208,#d0f070
688,48,144,112,#709030
689,112,240,208,#d0f070
690,112,240,208,#d0f070
691,80,176,144,#90b050
692,112,208,208,#d0d070
693,112,240,208,#d0f070
694,80,208,176,#b0d050
695,112,208,176,#b0d070
696,112,208,176,#b0d070
697,144,240,208,#d0f090
698,112,208,176,#b0d070
699,80,176,144,#90b050
700,80,176,144,#90b050
701,48,144,144,#909030
702,112,240,176,#b0f070
703,112,240,208,#d0f070
704,112,176,144,#90b070
705,80,176,176,#b0b050
706,144,240,240,#f0f090
707,144,208,176,#b0d090
708,112,208,176,#b0d070
709,112,240,208,#d0f070
710,112,208,208,#d0d070
711,144,240,208,#d0f090
712,48,176,144,#90b030
713,112,240,208,#d0f070
714,112,240,208,#d0f070
715,112,208,176,#b0d070
716,80,144,112,#709050
717,48,144,112,#709030
718,80,176,144,#90b050
719,144,208,176,#b0d090
720,80,144,112,#709050
721,112,176,144,#90b070
722,48,144,112,#709030
723,144,208,176,#b0d090
724,80,112,80,#507050
725,112,208,176,#b0d070
726,80,176,144,#90b050
727,112,208,176,#b0d070
728,144,208,208,#d0d090
729,48,176,176,#b0b030
730,144,240,208,#d0f090
731,48,144,144,#909030
732,80,176,176,#b0b050
733,80,208,176,#b0d050
734,144,240,208,#d0f090
735,144,240,208,#d0f090
736,112,176,144,#90b070
737,80,208,176,#b0d050
738,144,240,208,#d0f090
739,112,208,176,#b0d070
740,80,176,176,#b0b050
741,80,176,144,#90b050
742,112,144,112,#709070
743,144,240,208,#d0f090
744,80,144,112,#709050
745,80,144,144,#909050
746,80,208,176,#b0d050
747,112,240,208,#d0f070
748,144,208,176,#b0d090
749,16,16,16,#101010
750,16,16,16,#101010
751,16,48,48,#303010
752,144,240,208,#d0f090
753,48,176,144,#90b030
754,80,144,112,#709050
755,144,240,208,#d0f090
756,112,208,176,#b0d070
757,80,176,144,#90b050
758,144,208,176,#b0d090
759,144,240,208,#d0f090
760,144,240,240,#f0f090
761,80,144,144,#909050
762,112,208,176,#b0d070
763,48,176,144,#90b030
764,112,240,176,#b0f070
765,112,208,176,#b0d070
766,80,176,144,#90b050
767,112,240,208,#d0f070
768,80,176,144,#90b050
769,48,80,48,#305030
770,112,240,208,#d0f070
771,144,208,208,#d0d090
772,112,208,176,#b0d070
773,144,240,240,#f0f090
774,144,208,176,#b0d090
775,80,144,112,#709050
776,144,208,176,#b0d090
777,48,176,144,#90b030
778,112,176,176,#b0b070
779,80,208,144,#90d050
780,112,208,176,#b0d070
781,80,176,144,#90b050
782,80,208,144,#90d050
783,48,48,48,#303030
784,80,208,176,#b0d050
785,80,112,80,#507050
786,16,16,16,#101010
787,16,16,16,#101010
788,16,16,16,#101010
789,112,176,176,#b0b070
790,80,112,112,#707050
791,80,176,144,#90b050
792,80,112,112,#707050
793,48,144,112,#709030
794,80,176,144,#90b050
795,80,80,80,#505050
796,16,16,16,#101010
797,80,176,144,#90b050
798,80,176,144,#90b050
799,144,208,176,#b0d090
800,112,208,176,#b0d070
801,144,240,208,#d0f090
802,112,176,176,#b0b070
803,144,208,176,#b0d090
804,176,208,176,#b0d0b0
805,48,80,80,#505030
806,144,208,176,#b0d090
807,80,80,80,#505050
808,48,144,112,#709030
809,80,208,176,#b0d050
810,112,208,176,#b0d070
811,48,80,80,#505030
812,80,208,176,#b0d050
813,80,176,144,#90b050
814,80,176,144,#90b050
815,112,208,176,#b0d070
816,144,208,176,#b0d090
817,112,240,176,#b0f070
818,48,112,80,#507030
819,80,176,176,#b0b050
820,208,240,208,#d0f0d0
821,80,144,112,#709050
822,112,208,176,#b0d070
823,112,240,208,#d0f070
824,112,208,208,#d0d070
825,112,208,176,#b0d070
826,144,240,208,#d0f090
827,112,240,208,#d0f070
828,176,208,176,#b0d0b0
829,80,240,208,#d0f050
830,112,208,176,#b0d070
831,112,208,176,#b0d070
832,144,240,208,#d0f090
833,80,240,208,#d0f050
834,112,240,208,#d0f070
835,112,240,208,#d0f070
836,80,144,112,#709050
837,80,144,112,#709050
838,80,176,144,#90b050
839,16,16,16,#101010
840,144,240,208,#d0f090
841,112,176,176,#b0b070
842,16,16,16,#101010
843,80,176,144,#90b050
844,16,16,16,#101010
845,16,16,16,#101010
846,80,240,208,#d0f050
847,112,240,208,#d0f070
848,112,176,144,#90b070
849,144,240,208,#d0f090
850,80,240,176,#b0f050
851,112,240,208,#d0f070
852,48,112,112,#707030
853,112,176,144,#90b070
854,16,16,16,#101010
855,80,144,112,#709050
856,144,240,208,#d0f090
857,80,144,144,#909050
858,144,240,176,#b0f090
859,112,240,208,#d0f070
860,112,240,208,#d0f070
861,112,208,176,#b0d070
862,112,176,176,#b0b070
863,80,112,112,#707050
864,112,240,208,#d0f070
865,112,240,208,#d0f070
866,48,112,112,#707030
867,144,208,208,#d0d090
868,80,176,144,#90b050
869,112,208,176,#b0d070
870,112,208,176,#b0d070
871,80,176,144,#90b050
872,112,240,208,#d0f070
873,112,240,208,#d0f070
874,48,80,48,#305030
875,112,240,208,#d0f070
876,144,176,144,#90b090
877,48,48,48,#303030
878,112,240,176,#b0f070
879,112,208,176,#b0d070
880,112,208,176,#b0d070
881,16,48,16,#103010
882,144,240,208,#d0f090
883,16,16,16,#101010
884,144,208,176,#b0d090
885,176,240,240,#f0f0b0
886,176,208,176,#b0d0b0
887,16,16,16,#101010
888,144,208,176,#b0d090
889,80,208,176,#b0d050
890,112,176,144,#90b070
891,144,240,208,#d0f090
892,144,240,240,#f0f090
893,112,176,144,#90b070
894,48,144,112,#709030
895,80,208,176,#b0d050
896,16,16,16,#101010
897,80,208,176,#b0d050
898,80,240,208,#d0f050
899,80,176,144,#90b050
900,80,176,144,#90b050
901,112,208,176,#b0d070
902,144,240,208,#d0f090
903,80,144,112,#709050
904,144,240,176,#b0f090
905,144,240,240,#f0f090
906,80,144,112,#709050
907,80,208,176,#b0d050
908,144,240,208,#d0f090
909,80,240,240,#f0f050
910,144,240,208,#d0f090
911,48,80,48,#305030
912,48,176,144,#90b030
913,80,112,80,#507050
914,144,240,240,#f0f090
915,80,144,112,#709050
916,48,48,48,#303030
917,16,48,48,#303010
918,112,176,144,#90b070
919,80,208,176,#b0d050
920,80,208,176,#b0d050
921,48,144,144,#909030
922,80,144,112,#709050
923,48,48,48,#303030
924,80,176,144,#90b050
925,80,112,80,#507050
926,48,112,80,#507030
927,48,48,48,#303030
928,48,80,48,#305030
929,16,16,16,#101010
930,80,144,144,#909050
931,48,208,176,#b0d030
932,144,240,240,#f0f090
933,16,16,16,#101010
934,144,240,240,#f0f090
935,112,176,144,#90b070
936,112,176,144,#90b070
937,48,144,112,#709030
938,80,80,48,#305050
939,80,176,144,#90b050
940,80,208,144,#90d050
941,80,176,176,#b0b050
942,144,240,208,#d0f090
943,48,144,144,#909030
944,16,16,16,#101010
945,112,208,176,#b0d070
946,16,48,16,#103010
947,112,208,176,#b0d070
948,80,176,144,#90b050
949,80,176,176,#b0b050
950,16,16,16,#101010
951,48,48,48,#303030
952,80,176,144,#90b050
953,112,240,208,#d0f070
954,48,48,48,#303030
955,144,240,240,#f0f090
956,16,16,16,#101010
957,80,176,144,#90b050
958,80,176,144,#90b050
959,48,48,48,#303030
960,16,16,16,#101010
961,80,176,144,#90b050
962,112,208,208,#d0d070
963,80,208,176,#b0d050
964,144,240,208,#d0f090
965,112,240,208,#d0f070
966,112,176,144,#90b070
967,48,176,144,#90b030
968,112,176,176,#b0b070
969,48,80,80,#505030
970,80,112,80,#507050
971,48,80,48,#305030
972,16,48,48,#303010
973,48,48,48,#303030
974,80,208,176,#b0d050
975,48,48,48,#303030
976,80,144,144,#909050
977,48,48,48,#303030
978,16,16,16,#101010
979,112,176,144,#90b070
980,80,176,144,#90b050
981,112,240,208,#d0f070
982,48,48,48,#303030
983,144,208,176,#b0d090
984,112,240,208,#d0f070
985,112,240,208,#d0f070
986,144,208,176,#b0d090
987,48,48,48,#303030
988,16,16,16,#101010
989,80,208,144,#90d050
990,48,80,80,#505030
991,176,208,208,#d0d0b0
992,80,144,112,#709050
993,48,48,48,#303030
994,48,176,144,#90b030
995,16,16,16,#101010
996,48,176,144,#90b030
997,48,48,48,#303030
998,80,208,176,#b0d050
999,176,240,240,#f0f0b0
1000,144,240,208,#d0f090
1001,112,240,208,#d0f070
1002,48,48,16,#103030
1003,208,240,240,#f0f0d0
